Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
3.37575,0.045976,6.48218,6.48925,-7.37441,3.40831,13.9865,19884.6,19069.9,2171.52,1.00005
-7.33638,0.0472199,6.52138,6.50422,-18.0742,-7.30217,3.30499,19157.0,19987.1,2092.06,1.00009
-9.21516,0.0461382,6.47186,6.47697,-19.8373,-9.20755,1.38771,19685.9,19480.0,2149.83,0.999921
5.4088,0.0461212,6.49696,6.42769,-5.1541,5.30311,16.2056,19867.9,19597.0,2169.7,1.00015
13.3317,0.046029,6.55834,6.48886,2.63455,13.3113,24.1991,20308.1,19239.5,2217.76,1.00026
-6.2606,0.0473742,6.46182,6.52126,-16.7629,-6.20016,4.26899,18684.7,18935.1,2040.48,1.00003
8.85166,0.0466649,6.49713,6.5114,-1.90179,8.84654,19.4789,19448.9,18862.2,2123.94,1.00006
-1.78894,0.0463629,6.49737,6.48801,-12.4444,-1.78246,8.87231,19659.2,19254.6,2146.91,1.0001
-8.54092,0.0466796,6.46301,6.31384,-19.1726,-8.50485,2.14941,19178.0,19849.0,2094.35,0.999996
-5.48242,0.0462203,6.46182,6.35542,-16.1404,-5.4895,5.12573,19598.9,18623.4,2140.32,1.00004
-8.63895,0.0460054,6.47361,6.43844,-19.2095,-8.6789,2.08062,19828.2,19331.0,2165.36,0.999943
-15.6216,0.0455017,6.49648,6.39874,-26.2825,-15.6766,-4.86096,20390.0,19897.0,2226.71,0.999967
-1.94219,0.046034,6.53466,6.45511,-12.7266,-1.93588,8.80699,20161.7,20018.7,2201.78,0.999937
-9.2269,0.0454072,6.45915,6.43035,-19.9426,-9.18183,1.36324,20242.9,19987.8,2210.65,0.999923
-5.79204,0.045998,6.45499,6.46817,-16.394,-5.78796,4.78278,19712.0,18792.1,2152.67,1.00038
-10.3847,0.046833,6.48229,6.53276,-20.98,-10.4212,0.207625,19217.7,19632.9,2098.69,1.00014
-6.48454,0.0457369,6.48046,6.44171,-17.1716,-6.40696,4.16609,20088.4,19388.7,2193.77,0.999901
-6.85374,0.0462821,6.52282,6.53241,-17.4281,-6.85165,3.83164,19865.1,19628.8,2169.39,1.00005
-2.66436,0.046548,6.53595,6.51923,-13.4404,-2.68975,8.10304,19761.3,19495.5,2158.06,0.999973
-8.65737,0.0459067,6.48447,6.47448,-19.3038,-8.59632,1.93115,19953.4,19766.1,2179.03,1.00001
-6.08637,0.0459572,6.47915,6.45243,-16.6247,-6.05206,4.62975,19895.0,19881.3,2172.66,0.999871
-7.56688,0.0454584,6.46621,6.43773,-18.2802,-7.51858,2.91706,20240.7,19387.8,2210.41,1.00017
-16.5802,0.046742,6.51193,6.51138,-27.2569,-16.6215,-5.78959,19416.8,19763.2,2120.43,0.999985
